region,prevalence_cat1,prevalence_cat2,prevalence_cat3,prevalence_cat4
Amhara,61.48648648648649,13.513513513513514,13.513513513513514,11.486486486486488
Oromia,63.41463414634146,23.170731707317074,11.585365853658537,1.8292682926829267
SNNPR,55.90551181102362,20.078740157480315,18.503937007874015,5.511811023622047
Tigray,63.38028169014085,6.572769953051644,24.413145539906104,5.633802816901409
